Districts,Nationalized Banks,Private Banks,Regional Rural Banks,Cooperative Banks,ATMs
ADILABAD,18,6,1,9,58
BHADRADRI,62,5,35,12,114
HYDERABAD,849,264,12,4,1108
JAGTIAL ,53,17,23,14,96
JANGAON ,22,6,16,3,33
JAYASHANKAR ,29,1,24,3,23
JOGULAMBA ,30,10,11,3,34
KAMAREDDY ,79,5,22,19,96
KARIMNAGAR ,315,68,91,11,176
KHAMMAM ,152,9,22,18,187
KOMARAM BHEEM ,32,0,0,6,17
MAHABUBABAD,39,2,13,7,48
MAHABUBNAGAR,63,57,38,6,85
MANCHERIAL ,48,7,36,7,84
MEDAK ,52,7,22,10,48
MEDCHAL,279,84,28,6,218
NAGARKURNOOL ,38,5,25,5,42
NALGONDA ,118,16,75,7,162
NIRMAL ,38,5,28,22,43
NIZAMABAD ,156,33,42,9,254
PEDDAPALLI ,59,10,12,9,81
RAJANNA ,26,6,12,13,24
RANGAREDDY ,347,80,50,11,861
SANGAREDDY ,115,18,11,6,48
SIDDIPET ,47,5,20,9,101
SURYAPET ,82,11,43,6,116
VIKARABAD ,45,16,28,3,44
WANAPARTHY ,29,6,11,13,28
WARANGAL (R) ,37,11,13,5,67
WARANGAL (U),118,34,28,5,238
YADADRI ,36,29,25,8,71
